timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:45:38.999",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:45:38.945",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:45:38.836",3,"The database engine is initiating recovery steps",
"Apr 4, 2020 @ 13:45:38.751",3,"The database engine is starting a new instance",
"Apr 4, 2020 @ 13:45:35.465",5,"SessionEnv was unavailable to handle a notification event",
"Apr 4, 2020 @ 13:45:34.713",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 13:45:34.700",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 13:45:34.593",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:45:34.436",7,"SessionEnv was unavailable to handle a critical notification event",
"Apr 4, 2020 @ 13:45:32.280",3,"Ossec agent started.","ossec: Agent started: 'windows-10->any'."
"Apr 4, 2020 @ 13:44:52.877",5,"SessionEnv was unavailable to handle a notification event",
"Apr 4, 2020 @ 13:44:52.720",5,"WSearch was unavailable to handle a notification event",
"Apr 4, 2020 @ 13:43:51.842",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:43:47.587",3,"Service startup type was changed",
